VENDOR_NAME,CHECK_NUMBER,CHECK_DATE,CHECK_AMOUNT,INVOICE_NUM,INVOICE_DESCRIPTION,DIST_AMOUNT,DISTDESCRIPTION,FUND,FUND_DESCRIPTION,COST_CENTER,COST_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,TYPE_OF_DISBUSEMENT
Miscellaneous Vendor,663452,05/13/2015,30.00,78630 -0515,Jury Payment for MICHELLE L HASKINS  78630,30.00,Jury Payment for MICHELLE L HASKINS  78630,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
Miscellaneous Vendor,661056,05/06/2015,14.74,1433978314-2544245,PP 2014 81705,14.74,PP 2014 81705,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,666120,05/29/2015,48.56,1431889214-2582282,PP 2014 51157,48.56,PP 2014 51157,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
SUNTRUST,129273,05/08/2015,1619271.17,EFT-1500154,EMPLOYEE HEALTH CARE,385712.40,EMPLOYEE HEALTH CARE,100,General Fund,0,Default,20059,Healthcare - Cigna Active,EFT
Miscellaneous Vendor,660788,05/06/2015,12.95,1331060813-2543217,PP 2013 27608,12.95,PP 2013 27608,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
CHEMTRADE CHEMICALS CORPORATION,128875,05/06/2015,3466.86,91499949,ORDER NO 1379267,3466.86,Chemical Sulfate of Aluminum,808,Water Operating Fund,92001,Water Operations,76110,Utility Chemicals,EFT
Miscellaneous Vendor,662474,05/12/2015,20.54,1431699014-2549687,PP 2014 47765,20.54,PP 2014 47765,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
DIAMOND SPRINGS WATER,663760,05/14/2015,1356.85,722099320,Cust # 20013000,6.80,Rental of water cooler's for Rm G7 in City Hall and B-29 in the Safety bldg.,100,General Fund,2902,DPW-Gen Svcs-Facili,71012,Office Supplies And Stationary,CHECK
DIAMOND SPRINGS WATER,663760,05/14/2015,1356.85,722099320,Cust # 20013000,6.80,Rental of water cooler's for Rm G7 in City Hall and B-29 in the Safety bldg.,100,General Fund,2902,DPW-Gen Svcs-Facili,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,661493,05/06/2015,5.94,1339639713-2543900,PP 2013 275074,5.94,PP 2013 275074,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
GRAINGER INDUSTRIAL SUPPLY,661933,05/06/2015,4412.62,9700966923,ACCT 825085095,30.42,8tn27  PADLOCKS,809,Waste Water Operating Fund,93001,Wastewater Operations,76104,Utility Operating Supplies,CHECK
Miscellaneous Vendor,662706,05/12/2015,157.38,1261887112-2549511,VEHICLE SOLD,157.38,VEHICLE SOLD,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
ABSOLUTE PEST SOLUTIONS LLC,665007,05/26/2015,250.00,32540,ACCT 101894,25.00,Exterminating services for all locations.  Reference PO 15000006471- Orginal Purchase order was closed out by Finance Dept.,100,General Fund,2902,DPW-Gen Svcs-Facili,70216,Pest Control Services,CHECK
Westover South Woods Civic Association,130957,05/14/2015,100.00,2015-1,COUNCIL FUNDING,100.00,9th district annual spring clean up,100,General Fund,210,Council Dist 9,72105,Council Budget,EFT
NATIONAL SEMINARS TRAINING,664507,05/20/2015,318.40,761250019-001,CONFIDENCE FOR WOMEN,116.52,National Seminars Training for Administrative Services Staff on June 15th and 16th 2015.,809,Waste Water Operating Fund,99001,DPU Administration,72124,Employee Training,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0454620-001,ACCT# CRPA01-0,4.55,Stapler offers ergonomic stand-up design that takes up less desk space than conventional desktop staplers. Rotating anvil allows stapling and pinning. Design also features comfort hand grips and all-metal working parts. Stapler fastens up t,100,General Fund,2714,Social Ser-Family Stabiliz,71012,Office Supplies And Stationary,CHECK
CINTAS CORP. NO 2,127083,05/04/2015,103.31,143486734,ACCT# 10801,15.36,CINTAS UNIFORMS - MAILROOM/MAINTENANCE TECH,100,General Fund,2722,Social Ser-Tech Support,71171,Medical And Laboratory Supp,EFT
Safety Pro America,133933,05/29/2015,608.25,73210,ACCT # CITHALE,163.60,First aid kit supplies and refills as needed monthly.,100,General Fund,2506,Finance-Collections,70161,Management Services,EFT
Miscellaneous Vendor,664174,05/19/2015,10.88,1333885013-2556791,PP 2013 66822,10.88,PP 2013 66822,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
AMERIGAS CPC RICHMOND VA,662164,05/08/2015,217.68,802272220,ACCT # 200105068,217.68,Amerigas-Propane-Roadway Maintenance,100,General Fund,2912,DPW-Roadway Mai,72173,Natural Gas,CHECK
WEST ASSET MANAGEMENT INC,662131,05/07/2015,99.49,228466PR,Roderick Carroll xx-0028,99.49,Roderick Carroll xx-0028,100,General Fund,2502,Finance-General Accounting,20009,12-Student Loan,CHECK
DIAMOND SPRINGS WATER,665991,05/28/2015,397.30,430057002,CUST 4800200,23.45,delivery of water coolers to WWTP. Shockoe,809,Waste Water Operating Fund,93001,Wastewater Operations,76104,Utility Operating Supplies,CHECK
Miscellaneous Vendor,661830,05/06/2015,7.57,1135813011-2543114,PP 2011 236510,7.57,PP 2011 236510,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0443667-001,ACCT# CRPA01-0,7.50,"Quote 7048 for G12 
BSN32359 RULERS",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0443667-001,ACCT# CRPA01-0,7.50,"Quote 7048 for G12 
BSN32359 RULERS",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,663474,05/13/2015,30.00,118339 -0515,Jury Payment for YONG  SUNG  118339,30.00,Jury Payment for YONG  SUNG  118339,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
PD BROOKS TRAFFIC CONTROL,662401,05/11/2015,133.90,13809,HERMITAGE RD,133.90,PD Brooks: type 3 barricade rental for 13days,100,General Fund,2910,DPW-Trans Admin/Sig,72153,"Equipment (Less Than 5,000)",CHECK
BSN SPORTS INC,130382,05/12/2015,1750.00,96844409,Cust # 2441473,25.00,BLACKWELL:  #MSLB1824 - MESH BALL BAGS,100,General Fund,3010,Parks&Rec-Northside Richmond,71144,Recreational Supplies,EFT
Miscellaneous Vendor,662843,05/12/2015,13.00,1451455214-2550228,PP 2014 66197,13.00,PP 2014 66197,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,664094,05/19/2015,45.53,1437925314-2556933,PP 2014 218072,11.50,PP 2014 218072,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
R AND R OFFICE SUPPLY,664311,05/19/2015,8675.88,0462320-001,ATTN: CAROL L ARTIS,3.10,"Made of durable rolled mesh steel, the unique criss-crossed design gives your work space a curb appeal all its own. Pencil holder stores writing utensils on desktop for easy access. Also accommodates bulky items like rubber bands or binder",100,General Fund,2725,Social Ser-East District I,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,663402,05/13/2015,60.00,199804 -0515,Jury Payment for OLIVIA R ROBISON  199804,60.00,Jury Payment for OLIVIA R ROBISON  199804,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
AIRGAS SAFETY INC,662047,05/07/2015,76.86,9036598115,ORDER # 1033609040,10.98,RAD64055985  Vest Reflective Class 3 Mesh HI-VIZ Yellow 4X Large/5X Large  Items will be picked up at local branch.,100,General Fund,2908,DPW-Row-Permits/Sur,71011,Uniforms & Safty Supplies-Employee,CHECK
"SATELLITE TRACKING OF PEOPLE, LLC",664661,05/21/2015,2461.40,STPINV00015633,CUST# 0049-000384,-2461.40,"BLUtag (one-piece GPS device) used for W/R, HEI and outside detail - per participant day

Hanover County Contract @11-032701-2162TP",100,General Fund,1603,Sheriff-Jail Human Serv,70161,Management Services,CHECK
R AND R OFFICE SUPPLY,664574,05/20/2015,337.06,0462367-001,Acct # CRPA01-0,21.78,"Quick Clip ID Card Reel offers a stylish alternative to the mundane ID card reel. Easily clips to a belt loop, belt strap or purse strap.",402,Retirement Fund,1801,Retirement-Richmond Retire,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,663049,05/12/2015,20.39,1438928914-2550092,PP 2014 251479,20.39,PP 2014 251479,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
KLOKE ENTERPRISES INC,126943,05/01/2015,18660.31,RC-389-4/8,CUST# 131085,18660.31,Kloke collection move and storage for the Main Library Second Floor Project,601,Capital Projects Funds,23001,Buildings Projects/Grants,76401,Construction,EFT
KLOKE ENTERPRISES INC,126943,05/01/2015,18660.31,RC-389-4/8,CUST# 131085,18660.31,Kloke collection move and storage for the Main Library Second Floor Project,601,Capital Projects Funds,23001,Buildings Projects/Grants,76401,Construction,EFT
Miscellaneous Vendor,661695,05/06/2015,6.53,1336181613-2543670,PP 2013 176015,6.53,PP 2013 176015,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
BALL OFFICE PRODUCTS LLC,662345,05/11/2015,1138.06,0370845-001,ACCT DPUFIN-0,5.64,"CRTDG,PRNT,CYN,CLJ,CB541A",810,Storm Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
INSIGHT PUBLIC SECTOR INC,663593,05/13/2015,219856.16,26747546,PANASONIC TOUGHBOOK,28141.59,Insight Public Sector Panasonic Toughbooks,808,Water Operating Fund,98001,Customer Service,70511,Equipment Rental,CHECK
EAST END LANDFILL LLC   THE,663310,05/12/2015,7325.00,61296,CUST# 1023,65.00,Single Axle Dump Truck,809,Waste Water Operating Fund,93002,Wastewater Maintenance,70219,Landfill Services,CHECK
ROBERTS OXYGEN COMPANY INC,665135,05/27/2015,419.31,E60738,CUST # 95165,75.00,chemicals for city pools,100,General Fund,3007,Parks&Rec-Special Recreat,71181,Bulk Chemicals,CHECK
Stephen Morgan,660256,05/04/2015,220.46,TRVS-1501015,TRAVEL SETTLEMENT 3/10/15,-1356.18,Travel Advance March 10-13/15,100,General Fund,0,Default,10333,Travel Advance,CHECK
OFFICE INC,663686,05/14/2015,481.22,0012261-001REENTER,ACCT RICH1PM2,2.40,BSN65638 - Paper clips feature an elliptical shape that allows lighter gauge wire to hold papers together as effectively as most heavier-gauge wire paper clips. Electrogalvanized steel of paper clips resists rust and corrosion.,809,Waste Water Operating Fund,98001,Customer Service,71012,Office Supplies And Stationary,CHECK
PLEASANTS HARDWARE INC,661936,05/06/2015,528.89,238326/7,CUST# 60702,-197.93,"HARDWARE,SHELF",807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,CHECK
Anthony Allen,664948,05/26/2015,97.18,TRVR-1501386,Travel Reimbursement  April 15,97.18,Travel Reimbursement  April 15,100,General Fund,3010,Parks&Rec-Northside Richmond,70413,Mileage,CHECK
Miscellaneous Vendor,662649,05/12/2015,5.39,1333188513-2549526,MOVED TO CHESTERFIELD,5.39,MOVED TO CHESTERFIELD,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
ULTRA VIOLET LASER SUPPLIES,132408,05/26/2015,5445.25,88534,HPCLJ 3000 BLACK TONER,40.80,"INNOVERA FOR HP Q7562A COMPATIBLE REMANUFACTURED TONER, 3500 PAGE-YIELD, YELLOW",100,General Fund,2701,Social Ser-Administration,71012,Office Supplies And Stationary,EFT
ULTRA VIOLET LASER SUPPLIES,132408,05/26/2015,5445.25,88534,HPCLJ 3000 BLACK TONER,40.80,"INNOVERA FOR HP Q7562A COMPATIBLE REMANUFACTURED TONER, 3500 PAGE-YIELD, YELLOW",100,General Fund,2701,Social Ser-Administration,71012,Office Supplies And Stationary,EFT
GRAINGER INDUSTRIAL SUPPLY,660465,05/05/2015,6648.11,9715555703,ACCT 842860413,25.76,"4CL55  Tape Measure, 1 in x 35 ft, Chrome, In/Ft  Mfg Brand Name:  Stanley  Mfr Part # 33-835",100,General Fund,2914,DPW-Bridge Main,72154,Small Tools,CHECK
MILES AHEAD DISTRIBUTION INC,127400,05/05/2015,37438.35,5174-2,Cleaning Supplies,129.50,Lobby Dust Pan (Metal Handle),100,General Fund,2902,DPW-Gen Svcs-Facili,71131,Janitorial Supplies,EFT
Miscellaneous Vendor,663069,05/12/2015,15.54,1440714014-2550165,PP 2014 314639,15.54,PP 2014 314639,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
DIAMOND SPRINGS WATER,666361,05/29/2015,354.00,2611532REENTER,CUST# 11768200,19.95,Monthly bill for coffee and equpment  this is a 3 way split Line 2 = ADM,100,General Fund,503,PDR-Administration,71012,Office Supplies And Stationary,CHECK
RICHLAND LLC,664037,05/18/2015,149181.70,32620,Cust # CTYRM,2300.00,"SHOE, AMWELL - RETURN TRACK WEAR SHOE",809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
Miscellaneous Vendor,660971,05/06/2015,323.30,1434152214-2544253,PP 2014 83733,323.30,PP 2014 83733,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RIBBONS AND ROLLS  INC,664555,05/20/2015,2975.38,0439168-001,ACCT # CRPA01-0,94.35,"Quote 6858 Branch
QTRt2005 bar, bulletin 36",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
ALLIED BARTON SECURITY SERVICE,664813,05/22/2015,76567.33,6036446,CUST # 87760,5825.59,Security Officer,100,General Fund,2901,DPW-Finance & Admin,70551,Security/Monitoring Services,CHECK
CAPITAL LIGHTING & SUPPLY INC.,662440,05/11/2015,612.55,S020075113.001,ACCT# 145135,17.35,Building Supplies 400 Jeff Davis Hwy,904,Electric Operating Fund,90002,Operations Support,70211,Building Repair And Maint Services,CHECK
ABACUS CORPORATION,131776,05/20/2015,4001.65,545903,CUST# 4382,982.00,"Drives, stocks, and operates service and bucket trucks.  Uses safety equipment and follows established safety procedures for working with high and low voltage.  Maintains, tests, and troubleshoots emergency generators, motors, HVAC, and lig",601,Capital Projects Funds,23001,Buildings Projects/Grants,0,Default,EFT
4 IMPRINT INC,660026,05/01/2015,4904.79,3497678,CREDIT FOR OVERPAYMENT ACCOUNT # 1102980,-2.96,4Imprint Sport Shirts and LED Light - DPU 71014,809,Waste Water Operating Fund,98001,Customer Service,71014,Employee Appreciation Events And Awards,CHECK
Miscellaneous Vendor,662697,05/12/2015,9.14,1432073214-2549717,PP 2014 54220,9.14,PP 2014 54220,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
American Contract Compliance Association,130928,05/14/2015,475.00,2015-NTI-M-47,RE 2015 NTI/ELI REGISTRATION,475.00,American Contract Compliance Association 2015 Registration - LaQuiana Bailey,100,General Fund,3401,MBD-Ombd Administra,77103,Fuel For Dept. Owned Vehicles,EFT
CFS GROUP LLC,663749,05/14/2015,3890.12,167288,ACCT 001626,368.88,Refuse collections services for all Facilities locations,100,General Fund,2902,DPW-Gen Svcs-Facili,72175,Refuse & Recycling Expenses,CHECK
Miscellaneous Vendor,661666,05/06/2015,6259.96,1373220013-2544091,PP 2013 320010,2322.50,PP 2013 320010,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
TSRC INC,132627,05/27/2015,12193.64,2295411-0,CUST # 6000342 DEPT # 4702,8.32,"Energizer Alkaline Batteries, AAA, 4/PK",401,Special Revenue Fund,314,Library - Gifts to Library,72131,Software,EFT
ATAB INC DBA DOMINION,133902,05/29/2015,10434.00,97039,INSPECTIONS,10434.00,ATAB Inc DBA Dominion Elevator -Elevator Inspection Service,100,General Fund,502,PDR-Permits And Ins,70161,Management Services,EFT
SMITH TURF AND IRRIGATION,660495,05/05/2015,4767.78,2974849,CUST#124190,2511.48,"Chainsaw/pruner-Stihl
STMS-241-CM",100,General Fund,2905,DPW-Grounds Mainten,72153,"Equipment (Less Than 5,000)",CHECK
TSRC INC,131590,05/19/2015,836.69,2296612-0,CUST 6460000,13.07,"GUIDE, 1-31,PRSBD, LT,30PK",807,Gas Operating Fund,98001,Customer Service,71012,Office Supplies And Stationary,EFT
TIDEWATER FLEET SUPPLY LLC,133936,05/29/2015,120486.48,32715,RICHMOND GARAGE,-531.65,Commerce Rd March Billing,901,Fleet Management,2925,DPW-Fleet Managemen,71164,Industrial and Shop Supplies,EFT
TIDEWATER FLEET SUPPLY LLC,133936,05/29/2015,120486.48,32715,RICHMOND GARAGE,-531.65,Commerce Rd March Billing,901,Fleet Management,2925,DPW-Fleet Managemen,71164,Industrial and Shop Supplies,EFT
KINKER PRESS INC,665023,05/26/2015,304.47,35590,BOOK LABELS,147.76,"2,000 Labels: 85 sheets of 8.5 x 11 (24 labels to a sheet)",100,General Fund,303,Library -Children And Fa,70161,Management Services,CHECK
BENCHMARK VA LLC SUBSURFACE UTILITY SERVICES,130930,05/14/2015,2720.50,15043007,PROJECT # COR901,8.72,RFP/Non-Professional Services/DPU/Underground Utility Locating/11193-3,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76113,Miscellaneous Utility Services,EFT
WESCO CCA,131593,05/19/2015,531.92,902314,CUST# 18289-02,292.32,3/4 inch street elbow (pvc coated) #OCAL EL295-G 3/4 PVC CTD,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,EFT
GRAINGER INDUSTRIAL SUPPLY,665167,05/27/2015,1342.99,9728163644,ACCT# 842860413,877.98,Mfg Part #182321  Fall Protection Harness  Mfr Brand Name:     Guardian,100,General Fund,2914,DPW-Bridge Main,71183,Paint & Paint Supplies,CHECK
SCHOOLS BUDGET,133934,05/29/2015,1661371.25,EFT-1500161,SCHOOL BUDGET,1661371.25,SCHOOL BUDGET,100,General Fund,0,Default,22015,Due Rps-Operating,EFT
TSRC INC,133528,05/28/2015,215.72,2300204-0,CUST 6460000,38.71,"PCKT FILE.5.25,LTR,73810",808,Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,EFT
Miscellaneous Vendor,660607,05/06/2015,7.66,1333502413-2543448,PP 2013 62707,7.66,PP 2013 62707,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,664026,05/18/2015,4659.69,0456394-001,ACCT CRPA01-0,22.88,Round head fasteners feature stiff shanks and sharp points. Use fasteners to easily pierce several sheets of paper without the help of a punch or press. Leaves or tines of the legs are then separated and bent over to secure the papers. Fast,100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,663063,05/12/2015,24.32,1434344414-2549874,PP 2014 85874,24.32,PP 2014 85874,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0443667-001,ACCT# CRPA01-0,12.75,"Quote 7048 for G12
SPR 60006 drawer organziation",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0443667-001,ACCT# CRPA01-0,12.75,"Quote 7048 for G12
SPR 60006 drawer organziation",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
UNITED PARCEL SERVICES,666063,05/28/2015,56.79,00003Y8271165,INBOUND,56.79,Postal services for Revenue Administration .,100,General Fund,2506,Finance-Collections,72113,Postal Services,CHECK
EXCLUSIVE TEMPS,662079,05/07/2015,10000.04,47049,JACKEE P.,740.00,"Library Assistant II -Create user records, issues cards",100,General Fund,2725,Social Ser-East District I,70552,Contract And Temporary Personnel Services,CHECK
T A LOVING COMPANY,661864,05/06/2015,67024.40,TALLG06,Lower Goodes Creek Gate Structure,67024.40,Lower Goodes Creek Gate Structure,803,Wastewater Constructions Fund,96001,Technical Services,76401,Construction,CHECK
R AND R OFFICE SUPPLY,664311,05/19/2015,8675.88,0462299-001,ATTN: TELANA MCFADDEN,-23.56,MRC6181 - PAPER TOWELS,100,General Fund,2725,Social Ser-East District I,71012,Office Supplies And Stationary,CHECK
SERVICE TIRE TRUCK CENTER,664971,05/26/2015,176.00,O99273-24,CUST LP57203,176.00,Truck tire service,901,Fleet Management,2925,DPW-Fleet Managemen,77303,CGS-Commercial Costs,CHECK
ALLIED BARTON SECURITY SERVICE,663801,05/15/2015,853.02,6057237,SECURITY,50.37,Security Officer,100,General Fund,304,Library -Young Adult Services,70551,Security/Monitoring Services,CHECK
